Account Number,Property Address,Permit Codes,Permit Amt,Contrib Amt,Yr Built,Eff Yr Built,Addl Impr Amt,Num Stories,Tot Liv Area SF,Tot Living PSF,Living Area,Living Area PSF,Bldg Class,Desirability,Depr Pct,Market Val,Prior Mkt Val,Mkt Change Pct,Sale Date,Sale Desc,Adj Sale Price
Acct:220955400E0140000,947 FAIRBANKS CIR,,,,1986,1986,,ONE AND ONE HALF STORIES,1008,$67.88 ,1008,$67.88 ,14,EXCELLENT,0.25,"$68,420 ","$62,100 ",10.1771,,,
Acct:220955400E0130000,949 FAIRBANKS CIR,,,,1986,1986,,ONE AND ONE HALF STORIES,1148,$55.44 ,1148,$55.44 ,14,GOOD,0.35,"$63,640 ","$57,850 ",10.0086,,,
Acct:220955400E0120000,951 FAIRBANKS CIR,,,,1986,1986,,ONE AND ONE HALF STORIES,1146,$55.45 ,1146,$55.45 ,14,GOOD,0.35,"$63,550 ","$57,770 ",10.0052,,,
Acct:220955400E0110000,953 FAIRBANKS CIR,,,,1986,1986,,ONE AND ONE HALF STORIES,1148,$55.44 ,1148,$55.44 ,14,GOOD,0.35,"$63,640 ","$57,850 ",10.0086,,,
Acct:220955400E0100000,955 FAIRBANKS CIR,,,,1986,1986,,ONE AND ONE HALF STORIES,1008,$60.42 ,1008,$60.42 ,14,GOOD,0.35,"$60,900 ","$55,420 ",9.8881,,,
Acct:220955400E0090000,957 FAIRBANKS CIR,,,,1986,1986,,ONE STORY,1096,$61.29 ,1096,$61.29 ,14,GOOD,0.35,"$67,170 ","$60,980 ",10.1509,,,
Acct:220955400E0080000,959 FAIRBANKS CIR,,,,1986,1986,,ONE AND ONE HALF STORIES,1019,$56.54 ,1019,$56.54 ,14,AVERAGE,0.4,"$57,610 ","$52,490 ",9.7542,,,
Acct:220955400E0070000,961 FAIRBANKS CIR,,,,1986,1986,,ONE AND ONE HALF STORIES,1148,$45.05 ,1148,$45.05 ,14,FAIR,0.5,"$51,720 ","$47,270 ",9.414,,,
Acct:220955400E0060000,963 FAIRBANKS CIR,,,,1986,1986,,ONE AND ONE HALF STORIES,1146,$51.99 ,1146,$51.99 ,14,AVERAGE,0.4,"$59,580 ","$54,250 ",9.8249,,,
Acct:220955400E0050000,965 FAIRBANKS CIR,,,,1987,1987,,ONE AND ONE HALF STORIES,1148,$62.35 ,1148,$62.35 ,14,EXCELLENT,0.25,"$71,580 ","$68,420 ",4.6185,,,
Acct:220955400E0040000,967 FAIRBANKS CIR,,,,1987,1987,,ONE AND ONE HALF STORIES,1148,$52.95 ,1148,$52.95 ,14,GOOD,0.35,"$60,790 ","$58,650 ",3.6488,,,
Acct:220955400E0030000,969 FAIRBANKS CIR,,,,1987,1987,,ONE AND ONE HALF STORIES,1019,$60.26 ,1019,$60.26 ,14,GOOD,0.35,"$61,410 ","$59,240 ",3.6631,,,
Acct:220955400E0020000,971 FAIRBANKS CIR,,,,1987,1987,,ONE AND ONE HALF STORIES,1148,$51.97 ,1148,$51.97 ,14,AVERAGE,0.4,"$59,660 ","$54,320 ",9.8306,,,
Acct:220955400E0010000,973 FAIRBANKS CIR,,,,1987,1987,,ONE AND ONE HALF STORIES,1146,$51.99 ,1146,$51.99 ,14,AVERAGE,0.4,"$59,580 ","$57,770 ",3.1331,,,
Acct:220955300I0010000,802 GABLE AVE,,,,1985,1985,,ONE STORY,1168,$60.13 ,1168,$60.13 ,14,AVERAGE,0.4,"$70,230 ","$63,700 ",10.2512,,,
Acct:220955300I0020000,806 GABLE AVE,,,,1986,1986,,ONE AND ONE HALF STORIES,1456,$51.82 ,1456,$51.82 ,14,AVERAGE,0.4,"$75,450 ","$68,330 ",10.42,,,
Acct:220955300I0030000,810 GABLE AVE,,,,1998,1998,,TWO STORIES,1746,$64.66 ,1746,$64.66 ,14,GOOD,0.2,"$112,890 ","$101,580 ",11.1341,,,
Acct:220955300I0040000,814 GABLE AVE,,,,1995,1995,,TWO STORIES,1446,$67.15 ,1446,$67.15 ,14,GOOD,0.25,"$97,100 ","$87,560 ",10.8954,,,
